asset_id,category,variant,path,width,height,expected_width,expected_height,palette_colors,palette_limit,keyed_magenta,md5,size_ok,palette_ok
P_CAPTAIN_03,portrait_frame,source_fullcolor,source_fullcolor/portraits/captain/P_captain_f03.png,512,768,512,768,89886,,False,8379d48914805681ac696c271663bbeb,True,True
P_CAPTAIN_03,portrait_frame,target_fullcolor,target_fullcolor/portraits/captain/P_captain_f03.png,64,96,64,96,4212,,False,86159293000b1fdb6430582170daecd9,True,True
P_CAPTAIN_03,portrait_frame,saturn_ready,saturn_ready/portraits/captain/P_captain_f03.png,64,96,64,96,15,15,False,4f2d4d0d4e016bf6403e3905b244bb75,True,True
P_CAPTAIN_04,portrait_frame,source_fullcolor,source_fullcolor/portraits/captain/P_captain_f04.png,512,768,512,768,90632,,False,64e79295f2e1d31db40249202d932516,True,True
P_CAPTAIN_04,portrait_frame,target_fullcolor,target_fullcolor/portraits/captain/P_captain_f04.png,64,96,64,96,4183,,False,a78b26dcb2d7d8b11f14b14c6c791494,True,True
P_CAPTAIN_04,portrait_frame,saturn_ready,saturn_ready/portraits/captain/P_captain_f04.png,64,96,64,96,15,15,False,d1823c375478d35f3feb4701fa10642b,True,True
P_CAPTAIN_05,portrait_frame,source_fullcolor,source_fullcolor/portraits/captain/P_captain_f05.png,512,768,512,768,90072,,False,3baade559efbf3cd1a85c793d7546fdf,True,True
P_CAPTAIN_05,portrait_frame,target_fullcolor,target_fullcolor/portraits/captain/P_captain_f05.png,64,96,64,96,4176,,False,ddc099376361a52995f23d2d942e2151,True,True
P_CAPTAIN_05,portrait_frame,saturn_ready,saturn_ready/portraits/captain/P_captain_f05.png,64,96,64,96,15,15,False,a7852b4a764f22dd93173661f4e30d07,True,True
P_CAPTAIN_06,portrait_frame,source_fullcolor,source_fullcolor/portraits/captain/P_captain_f06.png,512,768,512,768,90754,,False,3b4f4cd92cb29ceacb424a7b4fa966eb,True,True
P_CAPTAIN_06,portrait_frame,target_fullcolor,target_fullcolor/portraits/captain/P_captain_f06.png,64,96,64,96,4204,,False,7e85d22ca083ce58151d4a8fe1a3070b,True,True
P_CAPTAIN_06,portrait_frame,saturn_ready,saturn_ready/portraits/captain/P_captain_f06.png,64,96,64,96,15,15,False,239e027fb69a442ee62c53248685799d,True,True
P_CAPTAIN_07,portrait_frame,source_fullcolor,source_fullcolor/portraits/captain/P_captain_f07.png,512,768,512,768,90655,,False,28badb278b0ee8ba91a47919a6422a94,True,True
P_CAPTAIN_07,portrait_frame,target_fullcolor,target_fullcolor/portraits/captain/P_captain_f07.png,64,96,64,96,4239,,False,f7226ab436dceb3bc5f4132696c6258d,True,True
P_CAPTAIN_07,portrait_frame,saturn_ready,saturn_ready/portraits/captain/P_captain_f07.png,64,96,64,96,15,15,False,4330518e8337fc938b92947410247b91,True,True
P_CAPTAIN_08,portrait_frame,source_fullcolor,source_fullcolor/portraits/captain/P_captain_f08.png,512,768,512,768,90034,,False,e6c1b458e33b10967c4fdb22236b3aca,True,True
P_CAPTAIN_08,portrait_frame,target_fullcolor,target_fullcolor/portraits/captain/P_captain_f08.png,64,96,64,96,4167,,False,9fa1b24e1def92d27445aacb19f8327e,True,True
P_CAPTAIN_08,portrait_frame,saturn_ready,saturn_ready/portraits/captain/P_captain_f08.png,64,96,64,96,15,15,False,9c7687582191e5f2a5f30715320b5bbf,True,True
P_AMBASSADOR_01,portrait_frame,source_fullcolor,source_fullcolor/portraits/ambassador/P_ambassador_f01.png,512,768,512,768,138782,,False,fb478083fdf4c6e19e51a778bfe2c2e0,True,True
P_AMBASSADOR_01,portrait_frame,target_fullcolor,target_fullcolor/portraits/ambassador/P_ambassador_f01.png,64,96,64,96,5585,,False,e193ae88ea71c370f4a2770f50fab327,True,True
P_AMBASSADOR_01,portrait_frame,saturn_ready,saturn_ready/portraits/ambassador/P_ambassador_f01.png,64,96,64,96,15,15,False,bab31e6f9ce8a30556c51061d7c862ff,True,True
P_AMBASSADOR_02,portrait_frame,source_fullcolor,source_fullcolor/portraits/ambassador/P_ambassador_f02.png,512,768,512,768,139358,,False,3be1973cfa7d61c2e7ed96982865b9d5,True,True
P_AMBASSADOR_02,portrait_frame,target_fullcolor,target_fullcolor/portraits/ambassador/P_ambassador_f02.png,64,96,64,96,5550,,False,778f703e612a19d6aeae5dbb3d4661e5,True,True
P_AMBASSADOR_02,portrait_frame,saturn_ready,saturn_ready/portraits/ambassador/P_ambassador_f02.png,64,96,64,96,15,15,False,949f00a59f1a38126e2efe9d817b684c,True,True
P_AMBASSADOR_03,portrait_frame,source_fullcolor,source_fullcolor/portraits/ambassador/P_ambassador_f03.png,512,768,512,768,138228,,False,97e1d209230003f379dc223a391ca2b4,True,True
